# ell TT TE EE BB
383 1.058865e-02 1.752713e-04 1.206619e-04 2.372665e-07
384 1.047063e-02 1.634740e-04 1.202806e-04 2.367345e-07
385 1.035614e-02 1.517889e-04 1.198796e-04 2.362079e-07
386 1.024513e-02 1.402205e-04 1.194592e-04 2.356867e-07
387 1.013755e-02 1.287732e-04 1.190192e-04 2.351711e-07
388 1.003334e-02 1.174511e-04 1.185599e-04 2.346611e-07
389 9.932457e-03 1.062562e-04 1.180815e-04 2.341568e-07
390 9.834844e-03 9.518987e-05 1.175843e-04 2.336582e-07
391 9.740446e-03 8.425372e-05 1.170688e-04 2.331652e-07
392 9.649211e-03 7.344923e-05 1.165352e-04 2.326779e-07
393 9.561083e-03 6.277788e-05 1.159839e-04 2.321962e-07
394 9.476010e-03 5.224120e-05 1.154153e-04 2.317201e-07
395 9.393937e-03 4.184067e-05 1.148296e-04 2.312497e-07
396 9.314810e-03 3.157780e-05 1.142272e-04 2.307849e-07
397 9.238576e-03 2.145410e-05 1.136085e-04 2.303258e-07
398 9.165181e-03 1.147105e-05 1.129738e-04 2.298722e-07
399 9.094571e-03 1.630170e-06 1.123234e-04 2.294243e-07
400 9.026692e-03 -8.067047e-06 1.116577e-04 2.289820e-07
401 8.961490e-03 -1.761910e-05 1.109770e-04 2.285454e-07
402 8.898912e-03 -2.702448e-05 1.102817e-04 2.281143e-07
403 8.838903e-03 -3.628169e-05 1.095721e-04 2.276888e-07
404 8.781410e-03 -4.538923e-05 1.088486e-04 2.272689e-07
